Constituency No,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes
1,1,ARUNA,Indian National Congress,6724,58,6782
1,2,RAJ KARAN KHATRI,Bharatiya Janata Party,86463,752,87215
1,3,SHARAD KUMAR,Aam Aadmi Party,78395,224,78619
1,4,ANIL KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),328,0,328
1,5,MD KHALID,Aazad Samaj Party (Kanshi Ram),278,0,278
1,6,BUDIYA,Independent,242,0,242
1,7,VIKAS BHARDWAJ,Independent,300,1,301
1,8,NOTA,None of the Above,973,8,981
2,1,GANGA RAM,Bahujan Samaj Party,2193,21,2214
2,2,MANGESH TYAGI,Indian National Congress,19808,112,19920
2,3,SANJEEV JHA,Aam Aadmi Party,120813,368,121181
2,4,ANIL KAPOOR,Janhit Dal,866,3,869
2,5,ABHISHEK KUMAR SINGH (MASTER JI),Rashtriya Janshakti Party (Secular),530,1,531
2,6,GULAB SINGHAL,Bhim Sena,318,0,318
2,7,DHURVA KUMAR,Right to Recall Party,224,0,224
2,8,PRAMOD,Sarvodaya Prabhat Party,315,0,315
2,9,MUKESH PRASAD,Bhartiya Janta Dal (Integrated),284,4,288
2,10,RATAN TYAGI,Nationalist Congress Party,3829,23,3852
2,11,VIJAY KUMAR JHA,Rachnatmak Jan Morcha,589,0,589
2,12,SHAILENDRA KUMAR,Janata Dal (United),99943,637,100580
2,13,SUNIL KUMAR VYATHIT,Aam Aadmi Sangharsh Party (S),568,1,569
2,14,SONU KAUSHIK,Aapki Apni Party (Peoples),738,1,739
2,15,NOTA,None of the Above,2530,18,2548
3,1,LOKENDRA KALYAN SINGH,Indian National Congress,8313,48,8361
3,2,SURINDER PAL SINGH (BITTOO),Aam Aadmi Party,54602,171,54773
3,3,SURENDER PAL,Bahujan Samaj Party,976,9,985
3,4,SURYA PRAKASH KHATRI,Bharatiya Janata Party,55626,315,55941
3,5,TARUN KUMAR,Republican Sena,165,2,167
3,6,DEEPAK CHAWLA,Republican Party of India (Athawale),113,0,113
3,7,BIJENDER KUMAR,Jan Samuh Party,49,1,50
3,8,RAKESH RANJAN SHRIVASTAV,Janhit Dal,90,1,91
3,9,RAJKUMAR BHARTI,Peoples Party of India (Democratic),111,1,112
3,10,RAM RAJ SINGH,Rashtriya Janshakti Party (Secular),109,0,109
3,11,WASIM AKRAM,Indian National Socialistic Action Forces,69,0,69
3,12,SANGH PRIYA SIDDHARTHA,Bhim Sena,107,0,107
3,13,NOTA,None of the Above,658,5,663
4,1,ABDUL ZABBAR,Bahujan Samaj Party,343,1,344
4,2,MUKESH KUMAR GOEL,Aam Aadmi Party,40941,87,41028
4,3,RAJ KUMAR BHATIA,Bharatiya Janata Party,52260,250,52510
4,4,SHIVANK SINGAL,Indian National Congress,5442,18,5460
4,5,PRIYA,"Aam Janmat Party,",56,0,56
4,6,PREM CHAND,Rashtrawadi Janlok Party (Satya),41,0,41
4,7,MD: RAHMAT ALI,Navarang Congress Party,18,0,18
4,8,VISHAL SINGH,National Youth Party,27,0,27
4,9,SANJAY YADAV ADVOCATE,Peoples Party of India (Democratic),35,0,35
4,10,SANJEEV KUMAR RANA,Communist Party of India,133,0,133
4,11,AYUSH GUPTA,Independent,64,0,64
4,12,NEETU SINGH,Independent,111,0,111
4,13,RAM NIWAS,Independent,140,0,140
4,14,VIJAY KR. AGGARWAL,Independent,116,0,116
4,15,NOTA,None of the Above,374,3,377
5,1,AJESH YADAV,Aam Aadmi Party,45937,92,46029
5,2,AAHIR DEEPAK CHAUDHARYY,Bharatiya Janata Party,61011,181,61192
5,3,DEVENDER YADAV,Indian National Congress,40980,91,41071
5,4,RAVINDER KUMAR,Bahujan Samaj Party,723,2,725
5,5,GOPAL KUMAR SINHA,Bharatiya Sampuran Krantikari Party,76,0,76
5,6,PARMOD KUMAR,Socialist Unity Centre Of India (COMMUNIST),250,0,250
5,7,MULAYAM SINGH,Nationalist Congress Party,92,0,92
5,8,RAJENDER,"Aam Janmat Party,",68,0,68
5,9,R. C. SHARMA,Sarvodaya Prabhat Party,64,0,64
5,10,ARUN KUMAR,Independent,158,0,158
5,11,JAI PAL,Independent,214,0,214
5,12,DEVENDER KUMAR YADAV,Independent,235,0,235
5,13,NOTA,None of the Above,687,5,692
6,1,KULWANT RANA,Bharatiya Janata Party,103950,421,104371
6,2,NEYAZ KHAN,Bahujan Samaj Party,615,4,619
6,3,MOHINDER GOYAL,Aam Aadmi Party,74591,164,74755
6,4,SUSHANT MISHRA,Indian National Congress,5216,42,5258
6,5,ASHOK JAIN,Yuva Bharat Rashtraseva Party,213,0,213
6,6,AYASHA KHATOON,Peoples Party of India (Democratic),114,0,114
6,7,JITANDER SINGH,Asankhya Samaj Party,55,1,56
6,8,NISHTHA,Jai Maha Bharath Party,154,1,155
6,9,AJAY KUMAR SINGH,Independent,104,0,104
6,10,VIDYA PATTI,Independent,167,0,167
6,11,VISHAL GUPTA,Independent,117,0,117
6,12,NOTA,None of the Above,1224,11,1235
7,1,JAI BHAGWAN UPKAR,Aam Aadmi Party,87874,166,88040
7,2,RAVINDER INDRAJ SINGH,Bharatiya Janata Party,118746,769,119515
7,3,SURENDER KUMAR,Indian National Congress,18630,83,18713
7,4,HEERA LAL,Bahujan Samaj Party,1552,5,1557
